Altium Designer Pick and Place Locations
G:\github-acme\Control_Board_Model_C_(HW_Package)\20201215\Assembly\Pick_n_Place\BG95-M3_Global_TFT_SCREEN\20201215-SGU-Acme_CPU_Control_Board_C201_001_Pick_and_Place.txt

========================================================================================================================
File Design Information:

Date:       22/12/20
Time:       11:16
Revision:   9f4f32aa3b2fdfe45095d4dd2dc0797d616b20d4
Variant:    BG95-M3_Global_TFT_SCREEN
Units used: mil

Designator Comment                                      Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                          
R118       "RES SMD 0 OHM JUMPER 1/16W 0402"            TopLayer    R0402                            225.000       1100.000      270      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R117       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            285.000       1120.000      360      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R116       DNP*                                         TopLayer    R0402                            165.000       1120.000      360      "Placeholder for a 0402 resistor"                                                                                                                    
R112       "RES SMD 2.26 OHM 1% 1/10W 0603"             TopLayer    R0603                            3685.000      965.000       360      "2.26 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"                                                          
R109       "RES SMD 1K OHM 1% 1/16W 0402"               TopLayer    R0402                            2725.000      625.000       270      "1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                           
R108       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            440.000       1430.000      360      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R107       "RES SMD 47K OHM 1% 1/16W 0402"              BottomLayer R0402                            200.000       1390.000      180      "47 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R106       "RES SMD 402 OHM 1% 1/16W 0402"              TopLayer    R0402                            200.000       1475.000      180      "402 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R105       "RES SMD 402 OHM 1% 1/16W 0402"              TopLayer    R0402                            200.000       1555.000      180      "402 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R104       "RES SMD 402 OHM 1% 1/16W 0402"              TopLayer    R0402                            200.000       1515.000      180      "402 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R103       "RES ARRAY 8 RES 100K OHM 1606"              TopLayer    YAG_YC248                        475.000       1825.000      90       "100k Ohm ±5% 62.5mW Power Per Element Isolated  Resistor Network/Array ±200ppm/°C 1606, Convex, Long Side Terminals"                                
R102       "RES SMD 23.7K OHM 1% 1/16W 0402"            TopLayer    R0402                            200.000       950.000       270      "23.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R101       "RES SMD 402 OHM 1% 1/16W 0402"              BottomLayer R0402                            1350.000      1450.000      90       "402 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R100       "RES SMD 0 OHM JUMPER 1/16W 0402"            TopLayer    R0402                            1265.000      1295.000      90       "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
